COMMON_NAME,SCIENTIFIC_NAME,IUCN_category,TipLabel
Common Ostrich,Struthio camelus,LC,Struthio_camelus
Greater Rhea,Rhea americana,NT,Rhea_americana
Lesser Rhea,Rhea pennata,LC,Rhea_pennata
Tawny-breasted Tinamou,Nothocercus julius,LC,Nothocercus_julius
Highland Tinamou,Nothocercus bonapartei,LC,Nothocercus_bonapartei
Hooded Tinamou,Nothocercus nigrocapillus,VU,Nothocercus_nigrocapillus
Grey Tinamou,Tinamus tao,VU,Tinamus_tao
Solitary Tinamou,Tinamus solitarius,NT,Tinamus_solitarius
Black Tinamou,Tinamus osgoodi,VU,Tinamus_osgoodi
Great Tinamou,Tinamus major,NT,Tinamus_major
White-throated Tinamou,Tinamus guttatus,NT,Tinamus_guttatus
Berlepsch's Tinamou,Crypturellus berlepschi,LC,Crypturellus_berlepschi
Cinereous Tinamou,Crypturellus cinereus,LC,Crypturellus_cinereus
Tepui Tinamou,Crypturellus ptaritepui,LC,Crypturellus_ptaritepui
Little Tinamou,Crypturellus soui,LC,Crypturellus_soui
Brown Tinamou,Crypturellus obsoletus,LC,Crypturellus_obsoletus
Undulated Tinamou,Crypturellus undulatus,LC,Crypturellus_undulatus
Brazilian Tinamou,Crypturellus strigulosus,LC,Crypturellus_strigulosus
Grey-legged Tinamou,Crypturellus duidae,NT,Crypturellus_duidae
Red-legged Tinamou,Crypturellus erythropus,LC,Crypturellus_erythropus
Yellow-legged Tinamou,Crypturellus noctivagus,NT,Crypturellus_noctivagus
Black-capped Tinamou,Crypturellus atrocapillus,NT,Crypturellus_atrocapillus
Eastern Thicket Tinamou,Crypturellus cinnamomeus,LC,Crypturellus_cinnamomeus
Pale-browed Tinamou,Crypturellus transfasciatus,NT,Crypturellus_transfasciatus
Slaty-breasted Tinamou,Crypturellus boucardi,LC,Crypturellus_boucardi
Choco Tinamou,Crypturellus kerriae,VU,Crypturellus_kerriae
Variegated Tinamou,Crypturellus variegatus,LC,Crypturellus_variegatus
Rusty Tinamou,Crypturellus brevirostris,LC,Crypturellus_brevirostris
Bartlett's Tinamou,Crypturellus bartletti,LC,Crypturellus_bartletti
Barred Tinamou,Crypturellus casiquiare,LC,Crypturellus_casiquiare
Small-billed Tinamou,Crypturellus parvirostris,LC,Crypturellus_parvirostris
Tataupa Tinamou,Crypturellus tataupa,LC,Crypturellus_tataupa
Red-winged Tinamou,Rhynchotus rufescens,LC,Rhynchotus_rufescens
Huayco Tinamou,Rhynchotus maculicollis,LC,Rhynchotus_maculicollis
Taczanowski's Tinamou,Nothoprocta taczanowskii,VU,Nothoprocta_taczanowskii
Ornate Tinamou,Nothoprocta ornata,LC,Nothoprocta_ornata
Chilean Tinamou,Nothoprocta perdicaria,LC,Nothoprocta_perdicaria
Brushland Tinamou,Nothoprocta cinerascens,LC,Nothoprocta_cinerascens
Andean Tinamou,Nothoprocta pentlandii,LC,Nothoprocta_pentlandii
Curve-billed Tinamou,Nothoprocta curvirostris,LC,Nothoprocta_curvirostris
White-bellied Nothura,Nothura boraquira,LC,Nothura_boraquira
Lesser Nothura,Nothura minor,VU,Nothura_minor
Darwin's Nothura,Nothura darwinii,LC,Nothura_darwinii
Spotted Nothura,Nothura maculosa,LC,Nothura_maculosa
Chaco Nothura,Nothura chacoensis,LC,Nothura_chacoensis
