COMMON_NAME,SCIENTIFIC_NAME,MIGRATORY_STATUS,SOURCE_OF_MIGRATORY_STATUS,IUCN_HABITATS,AUDUBON_HABITAT
Abert's Towhee,Melozone aberti,resident,1,artificial_terrestrial,Shrubland
Abert's Towhee,Melozone aberti,resident,1,savanna,Shrubland
Abert's Towhee,Melozone aberti,resident,1,shrubland,Shrubland
Acadian Flycatcher,Empidonax virescens,long,0,artificial_terrestrial,Woodland
Acadian Flycatcher,Empidonax virescens,long,0,forest,Woodland
Acadian Flycatcher,Empidonax virescens,long,0,shrubland,Woodland
Acadian Flycatcher,Empidonax virescens,long,0,wetlands_inland,Woodland
Acorn Woodpecker,Melanerpes formicivorus,resident,1,artificial_terrestrial,Woodland
Acorn Woodpecker,Melanerpes formicivorus,resident,1,forest,Woodland
Acorn Woodpecker,Melanerpes formicivorus,resident,1,grassland,Woodland
Alder Flycatcher,Empidonax alnorum,long,1,forest,Wetland
Alder Flycatcher,Empidonax alnorum,long,1,shrubland,Wetland
Alder Flycatcher,Empidonax alnorum,long,1,wetlands_inland,Wetland
Allen's Hummingbird,Selasphorus sasin,moderate,0,forest,Shrubland
Allen's Hummingbird,Selasphorus sasin,moderate,0,shrubland,Shrubland
Altamira Oriole,Icterus gularis,resident,1,forest,Woodland
Altamira Oriole,Icterus gularis,resident,1,savanna,Woodland
Altamira Oriole,Icterus gularis,resident,1,shrubland,Woodland
American Avocet,Recurvirostra americana,short,0,marine_intertidal,Wetland
American Avocet,Recurvirostra americana,short,0,wetlands_inland,Wetland
American Bittern,Botaurus lentiginosus,short,0,wetlands_inland,Wetland
American Black Duck,Anas rubripes,short,0,marine_coastal_supratidal,Wetland
American Black Duck,Anas rubripes,short,0,marine_intertidal,Wetland
American Black Duck,Anas rubripes,short,0,marine_neritic,Wetland
American Black Duck,Anas rubripes,short,0,wetlands_inland,Wetland
American Coot,Fulica americana,short,0,marine_intertidal,Wetland
American Coot,Fulica americana,short,0,wetlands_inland,Wetland
American Crow,Corvus brachyrhynchos,withdrawal,1,artificial_terrestrial,Various
American Crow,Corvus brachyrhynchos,withdrawal,1,forest,Various
American Crow,Corvus brachyrhynchos,withdrawal,1,grassland,Various
American Crow,Corvus brachyrhynchos,withdrawal,1,shrubland,Various
American Dipper,Cinclus mexicanus,resident,1,wetlands_inland,Wetland
American Golden-Plover,Pluvialis dominica,long,1,artificial_terrestrial,Grassland
American Golden-Plover,Pluvialis dominica,long,1,grassland,Grassland
American Golden-Plover,Pluvialis dominica,long,1,marine_intertidal,Grassland
American Golden-Plover,Pluvialis dominica,long,1,wetlands_inland,Grassland
American Goldfinch,Spinus tristis,short,0,artificial_terrestrial,Various
American Goldfinch,Spinus tristis,short,0,forest,Various
American Goldfinch,Spinus tristis,short,0,grassland,Various
American Goldfinch,Spinus tristis,short,0,shrubland,Various
American Kestrel,Falco sparverius,short,0,artificial_terrestrial,Grassland
American Kestrel,Falco sparverius,short,0,desert,Grassland
American Kestrel,Falco sparverius,short,0,forest,Grassland
American Kestrel,Falco sparverius,short,0,grassland,Grassland
