COMMON_NAME,SCIENTIFIC_NAME,order,family,TipLabel,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,intra_annual_variability,brain_residual,diet_breadth,adult_body_mass_g,functional_diet,mean_flock_size,total_range_km2,habitat_generalism_scaled,clutch_size,migration_status,Jan
Acadian Flycatcher,Empidonax virescens,Passeriformes,Tyrannidae (Tyrant Flycatchers),Empidonax_virescens,0.2931431438326836,0.2698801295757294,1.2133675493896008,1.4360890046954156,1.0695811659395695,1.335670018941164,1.962025792747736,2.9528724851608277,3.3444821178913116,0.6242394768893719,0.36165478906035425,1.0351387922540944,0.014772406,0.023556822,12.7,Invertebrate,1,5003850.299,0.33,2.82,Migrant,0.320999769769609
Acorn Woodpecker,Melanerpes formicivorus,Piciformes,Picidae (Woodpeckers),Melanerpes_formicivorus,0.9413198291957379,0.777322650924325,0.5407714578136802,0.4605001478716731,0.5652695064544677,0.4764463124126196,0.42675687834620474,1.1284620138704777,1.2781004024147988,1.2175566509217024,1.3517095939218997,0.3484290673641655,0.525999487,0.187324341,79.05,PlantSeed,2.75,1501667.017,0.22,5.06,Resident,1.0147545989900828
American Avocet,Recurvirostra americana,Charadriiformes,Recurvirostridae (Stilts and Avocets),Recurvirostra_americana,5.8566196676492694,5.217067098915577,1.8162047010660172,1.0579490554332733,0.8326860887557268,1.2788673749268056,1.3908969308137893,2.0425298765599726,2.804404183268547,3.898808660566807,5.493602085888385,1.9800659225490294,-0.209983423,0.155475671,309.25,Invertebrate,7.583333333333333,6016739.643,0.11,3.78,Migrant,5.605530471980572
American Bittern,Botaurus lentiginosus,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Botaurus_lentiginosus,4.431266537547112,3.4061250002384185,1.105056245520711,0.5280603574067354,0.46795221003890036,0.5305523914247752,0.5860812946557998,0.7298422665894031,1.2556613681018352,2.7295044443011283,4.019259016990661,1.5545884658127564,0.122739395,0.023867344,706,VertFishScav,1,14233001.07,0,3.75,Migrant,3.5746715520620347
American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",Fulica_caribaea,5.888155922055245,4.749925689935684,3.0157017588019372,1.2791049641668797,1.0025413596630097,1.5537249054312705,1.7856441213488579,2.9935859863460066,3.6189421964287756,4.703249124586582,5.984658314108849,1.9393576400830215,-0.257479643,0.125507024,620.5,PlantSeed,7.833333333333333,13776946.55,0.11,7.5,Migrant,6.355812171339989
American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_brachyrhynchos,3.500333680868149,2.9740826331973076,2.5345966480970383,2.1790757672190666,1.4061356728971004,1.6587942078113556,2.018861723393202,2.4712316308915616,2.767659115076065,3.2276196734309197,3.5914354678988456,0.7420146729794492,0.85116308,0.132476474,453,Omnivore,2.5833333333333335,12106867.66,0.33,4.68,Migrant,3.5443982367515563
American Dipper,Cinclus mexicanus,Passeriformes,Cinclidae (Dippers),Cinclus_mexicanus,0.6381916401684284,0.46222322331368926,0.3164317512735724,0.2871538477987051,0.22992835200577974,0.22190342003107072,0.2176028604581952,0.24578666032850743,0.3486219750866294,0.5222046684622764,0.6018389409035444,0.18875638257201796,0.364438608,0.015580942,55.9,Invertebrate,1,4906629.27,0,4.16,Resident,0.76863694292306906
American Golden-Plover,Pluvialis dominica,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis_dominica,0.4554186863750219,1.2753551245629788,0.838471613690257,0.7792033931910992,1.0351464478969574,0.7738601928353309,0.8602533316910267,1.0206655035018921,1.0579694217145443,1.2165534229278565,0.6383723588287831,0.3014871819012882,0.084759031,0.097273447,151,Invertebrate,2.1666666666666665,28666251.76,0.33,3.93,Migrant,0.24471714025735855
American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Carduelis_tristis,3.612306519806385,3.9516526451706886,3.751673991203308,2.4052626385688782,1.5539704525768756,1.8154119558632373,2.1924597717523575,2.7007072117626665,3.2961521617770195,3.4144402893781662,3.5478423081636428,0.8101895804319493,0.246920515,0.180035989,12.8,PlantSeed,3,10569060.13,0.33,5.2,Migrant,3.481677300274372
American Kestrel,Falco sparverius,Falconiformes,Falconidae (Falcons and Caracaras),Falco_sparverius,1.4371442269682884,1.3569363515973092,0.9859646512567997,0.7845635176599026,0.6244931521415711,0.7829264184981585,0.9328368017673493,1.1858692024946214,1.8088701276183128,1.9005460604429245,1.7781846652626991,0.4421751877588089,0.669432971,0.007989782,115.5,Invertebrate,1,27774626.99,0.67,4.4,Migrant,1.5510858913064003
American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers),Setophaga_ruticilla,0.343606223128736,0.36050597703456877,1.889291052877903,2.1282375892102716,0.5508492566645146,0.5663655831813812,2.1491622489094735,4.602500579476357,4.77975116622448,0.7063413927406073,0.3987717271223664,1.616679801453438,0.087774054,0.073084121,8.35,Invertebrate,1.3333333333333333,15136705.94,0.22,3.89,Migrant,0.398603905081749
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies),Turdus_migratorius,5.1621360259056095,4.216824690043926,3.6108394086956976,2.4972428227365016,1.3587265564203261,1.6103994531929493,2.560630180180073,4.037412231326103,4.003715701580048,4.647073096394539,5.19582364398241,1.3541154557214774,0.340716948,0.105171911,78.78333333,Omnivore,3.25,17938063.98,0.22,3.15,Migrant,5.056481298923493
American White Pelican,Pelecanus erythrorhynchos,Pelecaniformes,Pelecanidae (Pelicans),Pelecanus_erythrorhynchos,2.650103503525257,1.9576519143283366,1.3386274748742581,1.0595473100543022,0.7166934591382742,0.8597123103737832,0.9184664616435766,1.3987295144796372,1.86306455168128,2.6166141329705717,3.241431997418404,0.8515056360357118,0.636356793,0.03556565,6129.5,VertFishScav,7.5,8101812.897,0.22,2,Migrant,2.6552167412042618
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_americana,3.757719697713852,2.075550003796816,1.2678510823845863,0.9575480498075485,0.7910763612985611,1.0741401248276234,1.237594936043024,1.6012551537454127,2.2659128915667535,3.6650893301963805,4.931643828392029,1.5481610285050496,-0.025057667,0.014948238,786,PlantSeed,6,14955638.63,0.44,8.48,Migrant,4.987139067471027
American Woodcock,Scolopax minor,Charadriiformes,Scolopacidae (Sandpipers and Allies),Scolopax_minor,1.6651020401716232,2.3939616214036943,0.9308002105355263,0.4897060839831829,0.5081685316115617,0.5677267782241106,0.6679713549166918,0.891102488398552,1.2296128949522973,1.9985466778576375,1.1390917503535747,0.6092873546897603,0.031707277,0,196.25,Invertebrate,1.1666666666666667,4660126.747,0.11,3.9,Migrant,1.0181721378862858
Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Haliaeetus_leucocephalus,1.5959949329197407,1.4031582750082017,1.1533869657218456,0.8359916829615831,0.7244137057512998,0.758785779505968,0.7942732868939638,0.9080641300082207,1.1582833820283414,1.296806936532259,1.6099433944523334,0.37267110826736854,0.484008412,0.022463678,4740,VertFishScav,1,15545189.86,0.67,2,Migrant,1.7967838458120824
Baltimore Oriole,Icterus galbula,Passeriformes,Icteridae (Troupials and Allies),Icterus_galbula,0.820569823667407,0.7182108639329672,2.675692620575428,2.4584586022496224,1.6614201892912388,1.4531803112030028,2.2634093507528306,3.184462787181139,0.9761383884847165,0.8556450198888779,0.9155554674714804,0.8543064049883453,0.449647749,0.055911912,33.9,Invertebrate,1.4166666666666667,12506066.94,0.22,4.67,Migrant,0.9954253177642822
Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows),Riparia_riparia,0.7112170407027006,0.8167225229740143,1.6833280510008335,1.2892111974060536,1.143266326367855,0.9934499345421791,0.9143489220142365,0.9918872846066952,0.8617383632659912,1.035600100159645,0.8570584137737751,0.25912087217197094,-0.056269798,0,13.4,Invertebrate,2.6666666666666665,71792962.96,0.33,4.49,Migrant,1.1330311371684074
Barn Owl,Tyto alba,Strigiformes,Tytonidae (Barn-Owls),Tyto_alba,0.9103791673183441,1.084879906654358,1.0771351125240325,0.7318716550469399,1.0591809913516044,0.7457348793745041,0.6600657710283995,0.4702798357754946,0.6710037581473589,0.8859737162292004,0.8634216980785131,0.19518658240947898,0.873111291,0.004723801,381.6,VertFishScav,1,63131882.68,0.67,5.6,Resident,1.0124084349423648
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),Hirundo_rustica,1.1119844011813402,2.5552172726988793,2.301641010314226,1.7115333482921125,1.4737594468891622,1.5888566499948502,1.6959420568943024,1.6743240084350108,1.3059713684022427,1.1287131825983525,0.8164941039681435,0.5242290436575568,0.034974038,0.023556822,19,Invertebrate,4.166666666666667,94588322.19,0.56,4.47,Migrant,0.9021395628899336
Barred Owl,Strix varia,Strigiformes,Strigidae (Owls),Strix_varia,2.3807343746125698,2.1490499788224695,1.7164538494050503,1.1953115239739418,0.7482879425734281,0.8035713364034891,1.14677880230546,1.5571316475272179,1.6751365263164044,2.4511309580504896,2.4279853412508965,0.6281523828278935,1.135669059,0.023867344,716.5,VertFishScav,1,6627588.519,0.22,2.41,Resident,2.238888986378908
Barrow's Goldeneye,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bucephala_islandica,2.2398216149806975,1.5896930656433106,1.1736955572366714,0.7086727651506662,0.304565482057631,0.24976032726466657,0.2583816176429391,0.3012602415755391,0.9197123101949691,2.253919289112091,2.8294222857356073,1.0335722232087172,0.216410699,0.040383194,978.575,Invertebrate,3.1666666666666665,4902845.057,0.22,9.5,Migrant,2.9888081365823744
Bewick's Wren,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens),Thryomanes_bewickii,3.8562795852422713,2.9865352614223957,2.116406255275011,1.9464520719647407,2.0771121838390827,2.2099248773157596,2.2182634029984474,3.2817361243963243,3.472415753364563,3.2773593237400056,3.715236531555653,0.7813565229733219,0.353254002,0.011569914,9.9,Invertebrate,1,3421694.789,0.22,5.64,Migrant,4.078042794883252
Black-and-white Warbler,Mniotilta varia,Passeriformes,Parulidae (New World Warblers),Mniotilta_varia,1.051343264862895,1.572207879036665,2.4561343177855015,1.8638927673697472,0.37218876887857916,0.397729307487607,1.3913948329687118,3.521384737253189,3.7621184527277944,1.8457502111196518,1.3290024797469377,1.065460721020881,0.132235815,0.045606008,10.9,Invertebrate,1,12094377.93,0.11,5,Migrant,1.2706070382893087
Black-backed Woodpecker,Picoides arcticus,Piciformes,Picidae (Woodpeckers),Picoides_arcticus,0.2685881063491106,0.2766039827615023,0.19922866809368134,0.19180274525284768,0.18769433882832526,0.17892800486087798,0.18089668621867896,0.19265224245935678,0.25072032625973223,0.280868413798511,0.38106055969744923,0.06690968877663347,1.063328214,0.162008151,72,Invertebrate,1,6769766.697,0,3.82,Resident,0.3369319102317095
Black-bellied Plover,Pluvialis squatarola,Charadriiformes,Charadriidae (Plovers and Lapwings),Pluvialis_squatarola,1.6099025487601757,1.4954224857389926,1.1352516035735607,0.7873769583851099,0.9771029476821422,1.2823201775103807,0.9475186325162649,1.1057226464152337,1.209485674470663,1.7589360810220243,2.1268602561354637,0.4267317918930505,0.199262045,0.069429823,224,Invertebrate,3.75,15202992.82,0.22,3.96,Migrant,1.982402305752039
Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Nycticorax_nycticorax,6.709079712867736,7.026056928396225,8.028496929407119,7.677692873895168,6.645885121107101,6.282022924900055,5.968634165167808,6.575008407950401,7.079449580073357,7.3741849142313,8.492732772111893,0.7455512343630305,0.433283131,0.023867344,800,VertFishScav,1.9166666666666667,52744002.08,0.22,4,Migrant,7.668254589319229
Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rissa_tridactyla,0.4753943957835436,0.6657900901436806,0.7415420972704887,0.5897660495936871,0.427219577357173,0.3983326704502106,0.5005116245895624,0.9820845965147018,0.5136003457158804,0.5951850239038468,0.7234569433629513,0.16217441582644757,0.411947193,0.014161996,407.75,Omnivore,9.666666666666666,41688439.63,0.33,2.01,Migrant,0.5868430948704482
Black-throated Blue Warbler,Setophaga caerulescens,Passeriformes,Parulidae (New World Warblers),Dendroica_caerulescens,0.5542882621139288,0.6038076650500298,6.88998791885376,2.072649187862873,0.27018965973705056,0.26521339018642903,0.4210784544497728,3.216914144217968,7.1151589720249175,5.644455626726151,0.7168272202908993,2.680714526686112,0.149224787,0.098964812,10.2,Invertebrate,1,2957531.37,0.22,3.8,Migrant,0.700509246185422
Black-throated Sparrow,Amphispiza bilineata,Passeriformes,Passerellidae (New World Sparrows),Amphispiza_bilineata,0.3627280496582389,0.2446001484170556,0.18317691057920457,0.16308577769994737,0.16836805143207312,0.16983493431657554,0.16841226141154766,0.3085589760765433,0.30642023841291666,0.3426381184384227,0.3761184613779187,0.09178114371697946,0.435665851,0.17491013,13.5,Omnivore,2,2447679.275,0.11,2.79,Migrant,0.3911107132360339
Black Phoebe,Sayornis nigricans,Passeriformes,Tyrannidae (Tyrant Flycatchers),Sayornis_nigricans,5.371884398609399,4.6128576628565785,3.924298011273146,4.361174858748913,5.157001556277275,4.70857692527771,5.244142769038677,4.877775726079941,5.211611669659614,5.5221383095979695,5.69612927120924,0.5314946350278913,-0.061326637,0.025215052,18.25,Invertebrate,1.6666666666666667,3282250.774,0.44,4.21,Migrant,5.521002096414566
Black Skimmer,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Rynchops_niger,2.465975641489029,2.520896323621273,2.6073309293985365,1.541339349091053,2.4857390799224377,2.7136637783646584,2.3837486572563646,1.3462609843611717,1.2378436759412288,2.4279755988419054,2.1442982083261013,0.510387823092114,0.062155201,0.012588441,299.5,VertFishScav,18.25,14189223.31,0.33,3.5,Migrant,2.053082129508257
Black Vulture,Coragyps atratus,Cathartiformes,Cathartidae (New World Vultures),Coragyps_atratus,1.6013684621751307,1.6263747872114183,1.781295765042305,1.768246200889349,1.6212504583001137,1.3330428261160852,1.526070643544197,1.8554720350205898,1.9229694869816303,1.7859086579680443,1.8363614310324192,0.16438620512204344,0.492223229,0.019154579,2080.5,VertFishScav,2.75,21175047.97,0.33,2,Resident,1.6914134972691537
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers),Polioptila_caerulea,4.507314701139927,2.769510598927736,2.9131312589645386,2.412238415837288,1.7022545562982558,1.9935090539753437,2.955923404157162,3.9992681084871293,6.292259865880013,4.89027674561739,4.809570153176785,1.4016440685255604,0.084039434,0,6.125,Invertebrate,2,7263286.629,0.33,4.43,Migrant,4.660189393818379
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Anas_discors,3.4996004895567894,2.6490789930820466,1.9954405228793621,1.0037005725800991,0.6638927151858807,0.7221874556094408,0.9279507819414139,1.5028433246314525,2.2037294638454914,3.4877944974303245,3.5678757385015487,1.187850111396466,0.066930857,0.158134035,398.5,PlantSeed,4.416666666666667,14958418.81,0.33,10.1,Migrant,3.6163828973770142
Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Cyanocitta_cristata,3.5281328026652337,3.6659629905223845,3.7367159681320192,2.78934499925375,2.036963777989149,2.4734992055892944,3.0466739407181738,3.269395790040493,3.422803870022297,3.438236411333084,3.395052753984928,0.5117664216519963,0.859949376,0.155526942,85.25,Omnivore,2.1666666666666665,6808742.908,0.11,4.18,Migrant,3.420959779292345
Boat-tailed Grackle,Quiscalus major,Passeriformes,Icteridae (Troupials and Allies),Quiscalus_major,4.533304200410843,4.651480411529541,2.859051443874836,2.5617768134474757,3.6289735317230223,3.2093554297089577,2.680783642798662,3.9304973817467688,2.9442954830527306,4.053138537049294,4.904581948757172,0.7998586131256571,0.611996382,0.122488858,166,Omnivore,4.833333333333333,207386.1225,0.11,2.72,Resident,3.659847872376442
Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_philadelphia,1.6316105045676232,1.7955574571490287,1.498741957873106,0.8966982050538063,1.1105011905133724,0.9007928547263145,0.8731993615478277,0.988915598064661,1.2193265826702118,1.656923922598362,1.9878456555604935,0.42525369752133396,0.106895134,0.014161996,191,Omnivore,4.75,15306035.18,0.22,2.58,Migrant,1.9472393628358842
Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta_bernicla,3.3494712819457053,3.2465486605763436,2.7068642070293425,2.3439835751056672,1.5271222168207168,1.2990868664681912,1.2315703411102294,1.771356717288494,2.5013603476881983,4.311417543113231,4.19601508897543,1.1193859004832822,0.08917237,0,1347.25,PlantSeed,15.166666666666666,4847466.431,0.22,4,Migrant,4.005981237828731
Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae (Troupials and Allies),Euphagus_cyanocephalus,1.6171684398651123,1.49272576379776,0.901452150940895,0.6153371261656284,0.41829220338910816,0.6185157217830419,0.8188905407935381,0.9860426752567292,1.599523907750845,2.113511074244976,2.1433777097761633,0.5969104917291385,0.337142459,0.164601049,62.65,Invertebrate,6.916666666666667,10213705.24,0.22,4.98,Migrant,1.6851316865682602
Broad-winged Hawk,Buteo platypterus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",Buteo_platypterus,0.4089211358949542,0.8467048049867153,1.5623502602875232,0.8361711634397506,0.44340509693324565,0.4408965432047844,0.727892745822668,1.4246876509785653,1.019232669532299,0.6935603536963463,0.43704310548305514,0.39555103133741976,0.49374863,0.010708115,437,VertFishScav,1.1666666666666667,12157526.38,0.11,2.39,Migrant,0.4116172960996628
Brown-crested Flycatcher,Myiarchus tyrannulus,Passeriformes,Tyrannidae (Tyrant Flycatchers),Myiarchus_tyrannulus,0.2465957743898034,0.18812440992891788,0.6375538194924593,0.35834633544832467,0.48992929194122553,0.3166066766902804,0.37775057534128426,0.7237887765616179,0.31090922755002975,0.2826863744109869,0.3109865243434906,0.1604526008560207,0.259120655,0.054537079,36.5625,Invertebrate,1.25,10591333.06,0.44,4.5,Resident,0.28755965646356346
Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies),Molothrus_ater,2.8766038477420808,2.946335857510567,2.7834054841399194,2.0683462160229684,1.397899630010128,1.5534807775616646,1.7250462652742862,2.586989598274231,3.0065556200146677,2.560942058742046,2.247393324404955,0.5563004517504342,0.340943113,0.17491013,42.55,PlantSeed,3.1666666666666665,11999822.93,0.22,4.3,Migrant,2.156777754455805
Brown Thrasher,Toxostoma rufum,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma_rufum,6.617199425578117,4.998128890752793,3.1531075428128243,1.6575681952536105,1.2141647959053516,1.8342315049171447,3.2009980086684227,4.866293647408486,4.785968502402306,4.94306587600708,5.001056702136993,1.707960388594627,0.613133742,0.184667863,68.65,Omnivore,1,5857257.85,0.11,3.45,Migrant,5.30521443271637
Bushtit,Psaltriparus minimus,Passeriformes,Aegithalidae (Long-tailed Tits),Psaltriparus_minimus,10.313101534128188,8.867701753616332,8.21437155854702,6.7504655960798265,5.872582258045673,6.555214501976967,7.694261535048485,7.530889884471893,8.503358170628548,8.760757693648339,9.794340325117112,1.460365853234053,0.307758093,0.073084121,5.3,Invertebrate,7.333333333333333,2683368.929,0.22,6.3,Resident,10.374992901444434
Cactus Wren,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae (Wrens),Campylorhynchus_brunneicapillus,1.187980962023139,0.8776751554757357,0.5263878520727158,0.37586343655735255,0.7568282075226307,0.4513507530018687,0.4285741225257516,1.2729720162451268,1.173974628612399,1.0634096650481224,1.1471838560253382,0.33991739818172595,0.53242623,0.067443182,38.9,Invertebrate,2,1848980.734,0,3.18,Resident,1.106717454791069
California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus_californicus,8.505070464491844,6.1683584541678425,3.2943810909986495,2.0848104640841485,0.9739425299167633,1.2685453381240368,1.267303319901228,1.4727340089082719,2.101481651932001,5.2443991742134095,7.4463189342021945,2.9253807889219208,0.247747993,0.150242402,670.25,Omnivore,5.416666666666667,6055221.642,0.44,2.1,Migrant,8.179773794174194
Canada Jay,Perisoreus canadensis,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Perisoreus_canadensis,0.26452258698642256,0.26314846270531417,0.2596487464234233,0.2605277125611901,0.2951278914362192,0.2281602641418576,0.21800767159461976,0.21936091458797455,0.2688055556192994,0.30985371355712416,0.3178750769048929,0.032492113110949974,0.825052361,0.072531375,71.1,Omnivore,1.9166666666666667,7298065.076,0,3.02,Resident,0.27855438340455296
Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya_valisineria,4.462156664133072,2.205221516638994,1.045216120272875,0.7649609487503767,0.49962791562080383,0.5257099083065987,0.5057739828974008,0.5388127272874117,1.1602860916554927,2.4164479200839994,4.058864384531975,1.693893422641041,0.229324594,0.155552408,1218.666667,PlantSeed,3.1666666666666665,10987473.06,0.33,8.1,Migrant,5.027021022975445
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Thryothorus_ludovicianus,4.865421932935715,4.416643186092377,4.239345643699169,3.812946310043335,2.9031677566170693,3.386223884820938,3.633473094463348,3.9463667708039285,3.8750690361261366,3.9591585739851,4.321312859177589,0.5370073023791506,0.534893171,0.071353774,19.56666667,Invertebrate,1.5,3039770.923,0.11,4.67,Resident,4.565944090664387
Caspian Tern,Hydroprogne caspia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Sterna_caspia,1.8328959652781487,2.3059546755850313,2.833133884012699,1.7999126335680484,2.4272313269376755,2.27884604164958,1.9100622600913049,1.7459413621425628,1.2995431857705115,1.787708466142416,1.9386047231853007,0.4123074732279468,0.19236861,0.010434624,654.6666667,VertFishScav,2,13922052.23,0.44,2.35,Migrant,1.6178776989877224
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Bubulcus_ibis,1.4223996747583152,1.750418067485094,1.6841990350186824,1.5670877892971038,1.8699976434409618,1.4648563340902327,1.4013839800655843,1.7770600490570068,1.618194593012333,1.786453215956688,1.678764816403389,0.15112344090369165,0.32028809,0.023867344,372,Invertebrate,4.5,63597825.31,0.33,4.5,Migrant,1.5949529097378254
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings),Bombycilla_cedrorum,7.1321464130878445,8.10430391228199,7.9030123856067656,3.4534312086701395,1.1351559273004532,1.0574765787273646,1.4540722118616105,2.194230578929186,3.464050815761089,4.35252886468172,5.347297266900539,2.6005758003625004,0.239776612,0.051629037,32.04816667,FruiNect,7.666666666666667,14348129.03,0.22,4.12,Migrant,6.127544898986816
Chihuahuan Raven,Corvus cryptoleucus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Corvus_cryptoleucus,0.5719002395421267,0.4236725903004408,0.3215245257914066,0.23869222754240035,0.2661411121040583,0.27594539933651685,0.2685323457568884,0.29153681407123805,0.3114452743530273,0.5239497963637113,0.4660646618232131,0.11503174240610503,0.962465492,0.132631854,536.5,Omnivore,2,1508315.702,0.22,4.87,Migrant,0.4694330806583166
